MET file converted from FVCOM file2014_12Kmwrf.dat
KT = coef of heat exchange (watts/m2/C) (not used), TE = equil temp (C) (not used)
 IO = PAR (E/m2/day), FD=Fraction of day, and WS = wind speed (m/s)
    JDAY    KT      TE      IO      FD      WS  
 284.500  14.940  23.030  20.937   0.416   4.006
 285.500  14.940  23.030  10.368   0.415   7.186
 286.500  14.940  23.030  13.400   0.414   3.098
 287.500  14.940  23.030  18.752   0.413   6.055
 288.500  14.940  23.030  23.937   0.412   4.845
 289.500  14.940  23.030  10.033   0.412   6.318
 290.500  14.940  23.030  24.987   0.411   4.926
 291.500  14.940  23.030  25.717   0.409   5.282
 292.500  14.940  23.030  26.487   0.407   5.765
 293.500  14.940  23.030  20.111   0.406   8.824
 294.500  14.940  23.030   8.159   0.404   8.641
 295.500  14.940  23.030  19.320   0.402   7.761
 296.500  14.940  23.030  14.032   0.401   3.337
 297.500  14.940  23.030  10.108   0.399   4.706
 298.500  14.940  23.030  19.819   0.395   5.763
 299.500  14.940  23.030  16.935   0.392   5.495
 300.500  14.940  23.030   7.111   0.389   8.354
 301.500  14.940  23.030  23.261   0.385   5.521
 302.500  14.940  23.030   6.778   0.382   4.234
 303.500  14.940  23.030  18.623   0.378   2.697
 304.500  14.940  23.030  22.335   0.375   2.592
 305.500  14.940  23.030   8.711   0.373   6.138
 306.500  14.940  23.030   6.408   0.372   8.865
 307.500  14.940  23.030  12.627   0.370   4.343
 308.500  14.940  23.030   6.484   0.368   5.343
 309.500  14.940  23.030   7.503   0.366   9.464
 310.500  14.940  23.030  19.237   0.365   3.265
 311.500  14.940  23.030  17.831   0.363   3.328
 312.500  14.940  23.030  15.954   0.360   7.217
 313.500  14.940  23.030  19.741   0.356   4.922
 314.500  14.940  23.030  20.375   0.353   7.629
 315.500  14.940  23.030  20.327   0.349   9.096
 316.500  14.940  23.030  19.644   0.346   6.734
 317.500  14.940  23.030  19.192   0.343   3.924
 318.500  14.940  23.030  19.128   0.339   4.670
 319.500  14.940  23.030  18.237   0.335   3.739
 320.500  14.940  23.030  18.080   0.331   2.115
 321.500  14.940  23.030  14.879   0.327   3.713
 322.500  14.940  23.030  13.345   0.322   4.446
 323.500  14.940  23.030   8.788   0.318   5.549
 324.500  14.940  23.030   1.695   0.314   7.217
 325.500  14.940  23.030  15.954   0.310   3.429
 326.500  14.940  23.030  15.020   0.311   5.776
 327.500  14.940  23.030   3.024   0.313   8.024
 328.500  14.940  23.030   1.867   0.315   4.619
 329.500  14.940  23.030   1.196   0.316  10.234
 330.500  14.940  23.030   5.127   0.318   9.653
 331.500  14.940  23.030   4.585   0.320   6.450
 332.500  14.940  23.030  15.914   0.321   8.838
 333.500  14.940  23.030  15.708   0.321   4.363
 334.500  14.940  23.030  15.282   0.320   2.697
 335.500  14.940  23.030  14.832   0.319   5.528
 336.500  14.940  23.030  14.072   0.318   3.945
 337.500  14.940  23.030   8.701   0.317   2.678
 338.500  14.940  23.030   2.803   0.316   3.088
 339.500  14.940  23.030   8.063   0.315   6.749
 340.500  14.940  23.030   8.934   0.317   3.889
 341.500  14.940  23.030   6.543   0.319   7.200
 342.500  14.940  23.030   9.303   0.321  10.845
 343.500  14.940  23.030   2.198   0.322  11.428
 344.500  14.940  23.030   3.775   0.324   8.281
 345.500  14.940  23.030  11.981   0.326   5.497
 346.500  14.940  23.030  12.023   0.327   3.437
 347.500  14.940  23.030  13.601   0.327   5.269
 348.500  14.940  23.030   4.814   0.326   6.036
 349.500  14.940  23.030   3.082   0.325   3.476
 350.500  14.940  23.030   6.563   0.324   2.947
 351.500  14.940  23.030   4.083   0.323   7.284
 352.500  14.940  23.030   3.698   0.322   8.326
 353.500  14.940  23.030   1.912   0.321   9.804
 354.500  14.940  23.030  11.291   0.323   5.853
 355.500  14.940  23.030  11.398   0.325   1.808
 356.500  14.940  23.030   2.151   0.327   6.435
 357.500  14.940  23.030  10.404   0.328   4.255
 358.500  14.940  23.030  11.742   0.330   3.020
 359.500  14.940  23.030   9.045   0.332   2.869
 360.500  14.940  23.030   5.235   0.333   4.692
 361.500  14.940  23.030  11.770   0.333   6.335
 362.500  14.940  23.030  14.235   0.333   6.127
 363.500  14.940  23.030  14.375   0.333   3.603
 364.500  14.940  23.030  13.949   0.333   3.460
0365.000  14.940  23.030   7.904   0.327   1.510
0365.500  14.940  23.030   7.904   0.327   1.510
0366.500  14.940  23.030   3.579   0.327   7.986
0367.500  14.940  23.030  13.182   0.327   4.903
0368.500  14.940  23.030  14.622   0.327   3.111
0369.500  14.940  23.030  14.526   0.326   3.875
0370.500  14.940  23.030  10.279   0.324   5.775
0371.500  14.940  23.030   2.936   0.322   7.733
0372.500  14.940  23.030   3.913   0.321   7.857
0373.500  14.940  23.030   5.191   0.319   7.177
0374.500  14.940  23.030   3.160   0.317   8.835
0375.500  14.940  23.030   6.494   0.315  12.387
0376.500  14.940  23.030   5.220   0.318   6.436
0377.500  14.940  23.030   8.795   0.321   5.465
0378.500  14.940  23.030   9.770   0.323   3.326
0379.500  14.940  23.030  15.397   0.326   2.838
0380.500  14.940  23.030  15.130   0.328   4.353
0381.500  14.940  23.030  16.472   0.331   3.776
0382.500  14.940  23.030  16.265   0.333   5.181
0383.500  14.940  23.030  15.099   0.333   3.855
0384.500  14.940  23.030  17.176   0.333   2.338
0385.500  14.940  23.030  13.059   0.333   5.662
0386.500  14.940  23.030  13.646   0.333   3.535
0387.500  14.940  23.030  17.910   0.333   4.685
0388.500  14.940  23.030  17.848   0.333   2.425
0389.500  14.940  23.030  19.006   0.333   3.152
0390.500  14.940  23.030  18.422   0.338   2.928
0391.500  14.940  23.030   8.741   0.344   3.727
0392.500  14.940  23.030   4.519   0.349   3.897
0393.500  14.940  23.030   3.970   0.354   6.698
0394.500  14.940  23.030   7.670   0.359   3.715
0395.500  14.940  23.030  20.627   0.364   5.304
0396.500  14.940  23.030  16.340   0.369   2.610
0397.500  14.940  23.030  21.484   0.373   5.193
0398.500  14.940  23.030  21.496   0.378   6.479
0399.500  14.940  23.030  22.947   0.382   7.015
0400.500  14.940  23.030  24.116   0.386   8.235
0401.500  14.940  23.030  24.168   0.390   6.667
0402.500  14.940  23.030  23.030   0.395   3.442
0403.500  14.940  23.030  23.373   0.399   4.338
0404.500  14.940  23.030  20.545   0.400   4.000
0405.500  14.940  23.030  12.887   0.401   8.297
0406.500  14.940  23.030  12.762   0.401   7.866
0407.500  14.940  23.030  20.261   0.402   7.427
0408.500  14.940  23.030  25.405   0.403   7.690
0409.500  14.940  23.030  24.970   0.404   7.516
0410.500  14.940  23.030   7.947   0.405   7.484
0411.500  14.940  23.030   6.320   0.406  11.337
0412.500  14.940  23.030  15.540   0.408   6.542
0413.500  14.940  23.030   7.622   0.410   7.993
0414.500  14.940  23.030  24.273   0.412   5.373
0415.500  14.940  23.030  10.933   0.413   4.699
0416.500  14.940  23.030  24.082   0.415   3.261
0417.500  14.940  23.030  10.080   0.417   4.042
0418.500  14.940  23.030   4.572   0.416   3.881
0419.500  14.940  23.030   6.859   0.415   3.586
0420.500  14.940  23.030  28.020   0.414   4.126
0421.500  14.940  23.030  27.596   0.413   3.086
0422.500  14.940  23.030  16.046   0.412   2.570
0423.500  14.940  23.030  29.111   0.412   4.940
0424.500  14.940  23.030  10.391   0.411   7.512
0425.500  14.940  23.030   8.894   0.413   5.803
0426.500  14.940  23.030  21.221   0.416   5.258
0427.500  14.940  23.030  15.460   0.418   3.507
0428.500  14.940  23.030  27.038   0.421   7.857
0429.500  14.940  23.030   9.858   0.423   9.925
0430.500  14.940  23.030  35.299   0.426   5.817
0431.500  14.940  23.030   9.908   0.429   7.935
0432.500  14.940  23.030  31.183   0.435   2.922
0433.500  14.940  23.030  33.428   0.442   4.959
0434.500  14.940  23.030  38.047   0.449   2.246
0435.500  14.940  23.030  38.912   0.456   2.697
0436.500  14.940  23.030  28.376   0.463   3.693
0437.500  14.940  23.030  39.086   0.469   5.312
0438.500  14.940  23.030  12.410   0.476   8.002
0439.500  14.940  23.030   7.923   0.480   3.474
0440.500  14.940  23.030  42.018   0.483   6.251
0441.500  14.940  23.030  35.292   0.486   5.455
0442.500  14.940  23.030  35.447   0.490   6.055
0443.500  14.940  23.030  41.316   0.493   2.880
0444.500  14.940  23.030  38.933   0.497   3.482
0445.500  14.940  23.030  29.498   0.500   2.805
0446.500  14.940  23.030  44.988   0.500   3.162
0447.500  14.940  23.030  34.920   0.500   3.991
0448.500  14.940  23.030  24.830   0.500   7.494
0449.500  14.940  23.030  29.195   0.500   4.715
0450.500  14.940  23.030  44.411   0.500   3.247
0451.500  14.940  23.030  19.295   0.500   6.102
0452.500  14.940  23.030  33.912   0.500   8.411
0453.500  14.940  23.030  40.031   0.500   6.103
0454.500  14.940  23.030  45.851   0.500   2.912
0455.500  14.940  23.030  47.893   0.500   4.597
0456.500  14.940  23.030  46.149   0.500   3.564
0457.500  14.940  23.030  24.107   0.500   7.369
0458.500  14.940  23.030  43.910   0.500   5.092
0459.500  14.940  23.030  22.655   0.500   4.779
0460.500  14.940  23.030  50.725   0.504   3.915
0461.500  14.940  23.030  49.406   0.509   5.149
0462.500  14.940  23.030  27.592   0.513   4.917
0463.500  14.940  23.030  48.586   0.517   3.635
0464.500  14.940  23.030  50.232   0.521   2.649
0465.500  14.940  23.030  47.485   0.526   2.710
0466.500  14.940  23.030  49.141   0.530   4.492
0467.500  14.940  23.030  56.283   0.533   2.528
0468.500  14.940  23.030  49.524   0.537   4.848
0469.500  14.940  23.030  45.057   0.540   5.600
0470.500  14.940  23.030  23.022   0.543   7.527
0471.500  14.940  23.030  24.633   0.547   6.783
0472.500  14.940  23.030  57.593   0.550   3.062
0473.500  14.940  23.030  33.676   0.554   7.586
0474.500  14.940  23.030  40.518   0.558   4.910
